Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen02_dynassign/dynassign_seed1
Starting SACRED ATLA training from scratch for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Alternating every 50 episodes.
Initial Phase: Training PROTAGONIST (Adversary FROZEN)

Ep  121 | Phase: PROTAGO | Ticks: 786 | Protag R: -9792.00 | Antag R: 9421.00 | Delivery:  48.1% | Budget Used: 3720.00/4000.0
Ep  122 | Phase: PROTAGO | Ticks: 795 | Protag R: -11457.00 | Antag R: 11086.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  123 | Phase: PROTAGO | Ticks: 789 | Protag R: -8643.00 | Antag R: 8272.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  124 | Phase: PROTAGO | Ticks: 798 | Protag R: -5332.00 | Antag R: 4960.00 | Delivery:  62.5% | Budget Used: 3720.00/4000.0
Ep  125 | Phase: PROTAGO | Ticks: 792 | Protag R: -4508.00 | Antag R: 4136.00 | Delivery:  66.7% | Budget Used: 3720.00/4000.0
Ep  126 | Phase: PROTAGO | Ticks: 791 | Protag R: -11270.00 | Antag R: 10899.00 | Delivery:  47.2% | Budget Used: 3720.00/4000.0
Ep  127 | Phase: PROTAGO | Ticks: 791 | Protag R: -8620.00 | Antag R: 8249.00 | Delivery:  62.2% | Budget Used: 3720.00/4000.0
Ep  128 | Phase: PROTAGO | Ticks: 778 | Protag R: -11173.00 | Antag R: 10802.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
Ep  129 | Phase: PROTAGO | Ticks: 781 | Protag R: -7113.00 | Antag R: 6742.00 | Delivery:  67.5% | Budget Used: 3720.00/4000.0
Ep  130 | Phase: PROTAGO | Ticks: 797 | Protag R: -13849.00 | Antag R: 13478.00 | Delivery:  43.1% | Budget Used: 3720.00/4000.0
Ep  131 | Phase: PROTAGO | Ticks: 791 | Protag R: -15398.00 | Antag R: 15027.00 | Delivery:  43.3% | Budget Used: 3720.00/4000.0
Ep  132 | Phase: PROTAGO | Ticks: 798 | Protag R: -4568.00 | Antag R: 4196.00 | Delivery:  58.5% | Budget Used: 3720.00/4000.0
Ep  133 | Phase: PROTAGO | Ticks: 791 | Protag R: -14593.00 | Antag R: 14222.00 | Delivery:  40.0% | Budget Used: 3720.00/4000.0
Ep  134 | Phase: PROTAGO | Ticks: 797 | Protag R: -4356.00 | Antag R: 3985.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
Ep  135 | Phase: PROTAGO | Ticks: 799 | Protag R: -6754.00 | Antag R: 6382.00 | Delivery:  59.2% | Budget Used: 3720.00/4000.0
Ep  136 | Phase: PROTAGO | Ticks: 787 | Protag R: -9848.00 | Antag R: 9477.00 | Delivery:  41.1% | Budget Used: 3720.00/4000.0
Ep  137 | Phase: PROTAGO | Ticks: 793 | Protag R: -12897.00 | Antag R: 12525.00 | Delivery:  46.3% | Budget Used: 3720.00/4000.0
Ep  138 | Phase: PROTAGO | Ticks: 784 | Protag R: -10790.00 | Antag R: 10419.00 | Delivery:  43.1% | Budget Used: 3720.00/4000.0
Ep  139 | Phase: PROTAGO | Ticks: 799 | Protag R: -16510.00 | Antag R: 16139.00 | Delivery:  43.1% | Budget Used: 3720.00/4000.0
Ep  140 | Phase: PROTAGO | Ticks: 790 | Protag R: -6795.00 | Antag R: 6423.00 | Delivery:  55.1% | Budget Used: 3720.00/4000.0
Ep  141 | Phase: PROTAGO | Ticks: 781 | Protag R: -10058.00 | Antag R: 9688.00 | Delivery:  58.3% | Budget Used: 3720.00/4000.0
Ep  142 | Phase: PROTAGO | Ticks: 798 | Protag R: -9466.00 | Antag R: 9095.00 | Delivery:  52.9% | Budget Used: 3720.00/4000.0
Ep  143 | Phase: PROTAGO | Ticks: 798 | Protag R: -7359.00 | Antag R: 6988.00 | Delivery:  63.3% | Budget Used: 3720.00/4000.0
Ep  144 | Phase: PROTAGO | Ticks: 787 | Protag R: -6349.00 | Antag R: 5978.00 | Delivery:  53.7% | Budget Used: 3720.00/4000.0
Ep  145 | Phase: PROTAGO | Ticks: 794 | Protag R: -5817.00 | Antag R: 5446.00 | Delivery:  69.2% | Budget Used: 3720.00/4000.0
Ep  146 | Phase: PROTAGO | Ticks: 795 | Protag R: -6757.00 | Antag R: 6386.00 | Delivery:  53.3% | Budget Used: 3720.00/4000.0
Ep  147 | Phase: PROTAGO | Ticks: 794 | Protag R: -4798.00 | Antag R: 4427.00 | Delivery:  75.0% | Budget Used: 3720.00/4000.0
Ep  148 | Phase: PROTAGO | Ticks: 796 | Protag R: -9948.00 | Antag R: 9577.00 | Delivery:  52.8% | Budget Used: 3720.00/4000.0
Ep  149 | Phase: PROTAGO | Ticks: 799 | Protag R: -7627.00 | Antag R: 7256.00 | Delivery:  66.0% | Budget Used: 3720.00/4000.0
Ep  150 | Phase: PROTAGO | Ticks: 786 | Protag R: -3663.00 | Antag R: 3291.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
  [EVAL ep 150] greedy_atk=8921 learned_atk=8727 gap=-194 +/-660 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...

--- Episode 151: Switching training phase to ANTAGONIST ---
Ep  151 | Phase: ANTAGON | Ticks: 785 | Protag R: -10832.00 | Antag R: 10461.00 | Delivery:  48.0% | Budget Used: 3720.00/4000.0
Ep  152 | Phase: ANTAGON | Ticks: 783 | Protag R: -5749.00 | Antag R: 5377.00 | Delivery:  60.0% | Budget Used: 3720.00/4000.0
Ep  153 | Phase: ANTAGON | Ticks: 788 | Protag R: -3900.00 | Antag R: 3528.00 | Delivery:  72.2% | Budget Used: 3720.00/4000.0
Ep  154 | Phase: ANTAGON | Ticks: 790 | Protag R: -7476.00 | Antag R: 7105.00 | Delivery:  54.9% | Budget Used: 3720.00/4000.0
Ep  155 | Phase: ANTAGON | Ticks: 793 | Protag R: -2916.00 | Antag R: 2545.00 | Delivery:  71.1% | Budget Used: 3720.00/4000.0
Ep  156 | Phase: ANTAGON | Ticks: 792 | Protag R: -8080.00 | Antag R: 7709.00 | Delivery:  55.8% | Budget Used: 3720.00/4000.0
