BR gate (corrected): arena=contested reward_baseline=twin antag_target_entropy=0.5 gamma=0.997; training antagonist vs frozen GREEDY for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep  105 | Phase: ANTAGON | Ticks: 783 | Protag R: -3973.00 | Antag R: 3685.00 | Delivery:  38.5% | Budget Used: 2880.00/4000.0
Ep  106 | Phase: ANTAGON | Ticks: 778 | Protag R: -5065.00 | Antag R: 4717.00 | Delivery:  33.3% | Budget Used: 3480.00/4000.0
Ep  107 | Phase: ANTAGON | Ticks: 799 | Protag R: -3471.00 | Antag R: 3147.00 | Delivery:  40.4% | Budget Used: 3240.00/4000.0
Ep  108 | Phase: ANTAGON | Ticks: 799 | Protag R: -3466.00 | Antag R: 3166.00 | Delivery:  50.0% | Budget Used: 3000.00/4000.0
Ep  109 | Phase: ANTAGON | Ticks: 790 | Protag R: -3676.00 | Antag R: 3340.00 | Delivery:  50.0% | Budget Used: 3360.00/4000.0
Ep  110 | Phase: ANTAGON | Ticks: 792 | Protag R: -4981.00 | Antag R: 4681.00 | Delivery:  38.3% | Budget Used: 3000.00/4000.0
Ep  111 | Phase: ANTAGON | Ticks: 791 | Protag R: -5167.00 | Antag R: 4879.00 | Delivery:  42.6% | Budget Used: 2880.00/4000.0
Ep  112 | Phase: ANTAGON | Ticks: 796 | Protag R: -2855.00 | Antag R: 2603.00 | Delivery:  46.7% | Budget Used: 2520.00/4000.0
Ep  113 | Phase: ANTAGON | Ticks: 788 | Protag R: -5418.00 | Antag R: 5106.00 | Delivery:  40.0% | Budget Used: 3120.00/4000.0
Ep  114 | Phase: ANTAGON | Ticks: 795 | Protag R: -2809.00 | Antag R: 2521.00 | Delivery:  48.9% | Budget Used: 2880.00/4000.0
Ep  115 | Phase: ANTAGON | Ticks: 795 | Protag R: -5012.00 | Antag R: 4688.00 | Delivery:  32.7% | Budget Used: 3240.00/4000.0
Ep  116 | Phase: ANTAGON | Ticks: 775 | Protag R: -3802.00 | Antag R: 3502.00 | Delivery:  46.3% | Budget Used: 3000.00/4000.0
Ep  117 | Phase: ANTAGON | Ticks: 798 | Protag R: -5388.00 | Antag R: 5088.00 | Delivery:  37.2% | Budget Used: 3000.00/4000.0
Ep  118 | Phase: ANTAGON | Ticks: 793 | Protag R: -5775.00 | Antag R: 5439.00 | Delivery:  31.5% | Budget Used: 3360.00/4000.0
