BR gate: training antagonist vs frozen GREEDY on hybrid route-reach for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep  138 | Phase: ANTAGON | Ticks: 380 | Protag R: -1655.00 | Antag R: 1530.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep  139 | Phase: ANTAGON | Ticks: 577 | Protag R: -2041.00 | Antag R: 1891.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  140 | Phase: ANTAGON | Ticks: 496 | Protag R: -1837.00 | Antag R: 1687.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  141 | Phase: ANTAGON | Ticks: 481 | Protag R: -1608.00 | Antag R: 1470.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep  142 | Phase: ANTAGON | Ticks: 242 | Protag R: -888.00 | Antag R:  800.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep  143 | Phase: ANTAGON | Ticks: 603 | Protag R: -2082.00 | Antag R: 1932.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  144 | Phase: ANTAGON | Ticks: 494 | Protag R: -2133.00 | Antag R: 1995.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep  145 | Phase: ANTAGON | Ticks: 437 | Protag R: -1493.00 | Antag R: 1343.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  146 | Phase: ANTAGON | Ticks: 491 | Protag R: -1945.00 | Antag R: 1795.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  147 | Phase: ANTAGON | Ticks: 650 | Protag R: -1964.00 | Antag R: 1814.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  148 | Phase: ANTAGON | Ticks: 765 | Protag R: -2818.00 | Antag R: 2668.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  149 | Phase: ANTAGON | Ticks: 455 | Protag R: -1653.00 | Antag R: 1503.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  150 | Phase: ANTAGON | Ticks: 575 | Protag R: -1758.00 | Antag R: 1608.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: ANTAGON | Ticks: 628 | Protag R: -1905.00 | Antag R: 1755.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  152 | Phase: ANTAGON | Ticks: 308 | Protag R: -1229.00 | Antag R: 1104.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep  153 | Phase: ANTAGON | Ticks: 382 | Protag R: -1651.00 | Antag R: 1526.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep  154 | Phase: ANTAGON | Ticks: 650 | Protag R: -2121.00 | Antag R: 1971.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  155 | Phase: ANTAGON | Ticks: 575 | Protag R: -1714.00 | Antag R: 1564.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  156 | Phase: ANTAGON | Ticks: 387 | Protag R: -1642.00 | Antag R: 1529.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep  157 | Phase: ANTAGON | Ticks: 636 | Protag R: -2182.00 | Antag R: 2032.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
