Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/hybrid_scripted_seed0
Starting SACRED training (mode=scripted_adversary) for 400 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep  140 | Phase: PROTAGO | Ticks: 797 | Protag R: -5558.00 | Antag R: 5408.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  141 | Phase: PROTAGO | Ticks: 797 | Protag R: -5568.00 | Antag R: 5418.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  142 | Phase: PROTAGO | Ticks: 796 | Protag R: -6011.00 | Antag R: 5861.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  143 | Phase: PROTAGO | Ticks: 799 | Protag R: -6068.00 | Antag R: 5918.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep  144 | Phase: PROTAGO | Ticks: 798 | Protag R: -5785.00 | Antag R: 5635.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  145 | Phase: PROTAGO | Ticks: 797 | Protag R: -4697.00 | Antag R: 4547.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep  146 | Phase: PROTAGO | Ticks: 799 | Protag R: -5743.00 | Antag R: 5593.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  147 | Phase: PROTAGO | Ticks: 799 | Protag R: -5231.00 | Antag R: 5081.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  148 | Phase: PROTAGO | Ticks: 799 | Protag R: -5485.00 | Antag R: 5335.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  149 | Phase: PROTAGO | Ticks: 798 | Protag R: -5753.00 | Antag R: 5603.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  150 | Phase: PROTAGO | Ticks: 798 | Protag R: -6206.00 | Antag R: 6056.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
  [EVAL ep 150] greedy_atk=847 learned_atk=6400 gap=+5553 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: PROTAGO | Ticks: 799 | Protag R: -5771.00 | Antag R: 5621.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  152 | Phase: PROTAGO | Ticks: 799 | Protag R: -5560.00 | Antag R: 5410.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  153 | Phase: PROTAGO | Ticks: 799 | Protag R: -5205.00 | Antag R: 5055.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  154 | Phase: PROTAGO | Ticks: 798 | Protag R: -5661.00 | Antag R: 5511.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  155 | Phase: PROTAGO | Ticks: 799 | Protag R: -5750.00 | Antag R: 5600.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  156 | Phase: PROTAGO | Ticks: 796 | Protag R: -5750.00 | Antag R: 5600.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep  157 | Phase: PROTAGO | Ticks: 798 | Protag R: -5140.00 | Antag R: 4990.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  158 | Phase: PROTAGO | Ticks: 799 | Protag R: -5097.00 | Antag R: 4947.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  159 | Phase: PROTAGO | Ticks: 799 | Protag R: -5372.00 | Antag R: 5222.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  160 | Phase: PROTAGO | Ticks: 798 | Protag R: -5404.00 | Antag R: 5254.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
