Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen02_dynassign/dynassign_seed1/snapshots/protagonist_ep250.pt (node_in_dim=11).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_sacred_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   94 | Phase: ANTAGON | Ticks: 784 | Protag R: -8556.00 | Antag R: 8185.00 | Delivery:  58.2% | Budget Used: 3720.00/4000.0
Ep   95 | Phase: ANTAGON | Ticks: 793 | Protag R: -10136.00 | Antag R: 9765.00 | Delivery:  52.2% | Budget Used: 3720.00/4000.0
Ep   96 | Phase: ANTAGON | Ticks: 788 | Protag R: -5111.00 | Antag R: 4740.00 | Delivery:  60.5% | Budget Used: 3720.00/4000.0
Ep   97 | Phase: ANTAGON | Ticks: 799 | Protag R: -6506.00 | Antag R: 6135.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
Ep   98 | Phase: ANTAGON | Ticks: 794 | Protag R: -9578.00 | Antag R: 9207.00 | Delivery:  46.4% | Budget Used: 3720.00/4000.0
Ep   99 | Phase: ANTAGON | Ticks: 779 | Protag R: -9406.00 | Antag R: 9035.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep  100 | Phase: ANTAGON | Ticks: 784 | Protag R: -6770.00 | Antag R: 6398.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: ANTAGON | Ticks: 794 | Protag R: -5697.00 | Antag R: 5326.00 | Delivery:  69.0% | Budget Used: 3720.00/4000.0
Ep  102 | Phase: ANTAGON | Ticks: 781 | Protag R: -10575.00 | Antag R: 10204.00 | Delivery:  36.8% | Budget Used: 3720.00/4000.0
Ep  103 | Phase: ANTAGON | Ticks: 778 | Protag R: -5633.00 | Antag R: 5261.00 | Delivery:  54.8% | Budget Used: 3720.00/4000.0
Ep  104 | Phase: ANTAGON | Ticks: 792 | Protag R: -9015.00 | Antag R: 8644.00 | Delivery:  64.6% | Budget Used: 3720.00/4000.0
Ep  105 | Phase: ANTAGON | Ticks: 778 | Protag R: -11617.00 | Antag R: 11246.00 | Delivery:  48.1% | Budget Used: 3720.00/4000.0
Ep  106 | Phase: ANTAGON | Ticks: 797 | Protag R: -8679.00 | Antag R: 8308.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep  107 | Phase: ANTAGON | Ticks: 799 | Protag R: -10517.00 | Antag R: 10146.00 | Delivery:  59.6% | Budget Used: 3720.00/4000.0
Ep  108 | Phase: ANTAGON | Ticks: 799 | Protag R: -7762.00 | Antag R: 7391.00 | Delivery:  60.9% | Budget Used: 3720.00/4000.0
Ep  109 | Phase: ANTAGON | Ticks: 790 | Protag R: -6395.00 | Antag R: 6024.00 | Delivery:  62.5% | Budget Used: 3720.00/4000.0
Ep  110 | Phase: ANTAGON | Ticks: 780 | Protag R: -8064.00 | Antag R: 7692.00 | Delivery:  59.6% | Budget Used: 3720.00/4000.0
Ep  111 | Phase: ANTAGON | Ticks: 786 | Protag R: -11393.00 | Antag R: 11022.00 | Delivery:  42.6% | Budget Used: 3720.00/4000.0
Ep  112 | Phase: ANTAGON | Ticks: 783 | Protag R: -6850.00 | Antag R: 6478.00 | Delivery:  62.2% | Budget Used: 3720.00/4000.0
Ep  113 | Phase: ANTAGON | Ticks: 796 | Protag R: -7003.00 | Antag R: 6632.00 | Delivery:  65.0% | Budget Used: 3720.00/4000.0
Ep  114 | Phase: ANTAGON | Ticks: 798 | Protag R: -8296.00 | Antag R: 7925.00 | Delivery:  57.8% | Budget Used: 3720.00/4000.0
Ep  115 | Phase: ANTAGON | Ticks: 776 | Protag R: -12284.00 | Antag R: 11912.00 | Delivery:  36.5% | Budget Used: 3720.00/4000.0
Ep  116 | Phase: ANTAGON | Ticks: 781 | Protag R: -6576.00 | Antag R: 6205.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
Ep  117 | Phase: ANTAGON | Ticks: 796 | Protag R: -6109.00 | Antag R: 5738.00 | Delivery:  62.8% | Budget Used: 3720.00/4000.0
Ep  118 | Phase: ANTAGON | Ticks: 792 | Protag R: -8794.00 | Antag R: 8423.00 | Delivery:  59.3% | Budget Used: 3720.00/4000.0
Ep  119 | Phase: ANTAGON | Ticks: 794 | Protag R: -11427.00 | Antag R: 11056.00 | Delivery:  52.7% | Budget Used: 3720.00/4000.0
Ep  120 | Phase: ANTAGON | Ticks: 798 | Protag R: -10338.00 | Antag R: 9967.00 | Delivery:  48.1% | Budget Used: 3720.00/4000.0
Ep  121 | Phase: ANTAGON | Ticks: 784 | Protag R: -12819.00 | Antag R: 12448.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
Ep  122 | Phase: ANTAGON | Ticks: 793 | Protag R: -9826.00 | Antag R: 9455.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep  123 | Phase: ANTAGON | Ticks: 797 | Protag R: -11030.00 | Antag R: 10658.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Ep  124 | Phase: ANTAGON | Ticks: 792 | Protag R: -9136.00 | Antag R: 8765.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  125 | Phase: ANTAGON | Ticks: 798 | Protag R: -8987.00 | Antag R: 8615.00 | Delivery:  57.4% | Budget Used: 3720.00/4000.0
Ep  126 | Phase: ANTAGON | Ticks: 793 | Protag R: -7934.00 | Antag R: 7563.00 | Delivery:  68.3% | Budget Used: 3720.00/4000.0
Ep  127 | Phase: ANTAGON | Ticks: 795 | Protag R: -8332.00 | Antag R: 7961.00 | Delivery:  53.1% | Budget Used: 3720.00/4000.0
Ep  128 | Phase: ANTAGON | Ticks: 791 | Protag R: -11561.00 | Antag R: 11190.00 | Delivery:  52.6% | Budget Used: 3720.00/4000.0
Ep  129 | Phase: ANTAGON | Ticks: 794 | Protag R: -11172.00 | Antag R: 10801.00 | Delivery:  53.3% | Budget Used: 3720.00/4000.0
Ep  130 | Phase: ANTAGON | Ticks: 790 | Protag R: -9601.00 | Antag R: 9230.00 | Delivery:  58.8% | Budget Used: 3720.00/4000.0
Ep  131 | Phase: ANTAGON | Ticks: 785 | Protag R: -3610.00 | Antag R: 3238.00 | Delivery:  82.8% | Budget Used: 3720.00/4000.0
Ep  132 | Phase: ANTAGON | Ticks: 784 | Protag R: -5563.00 | Antag R: 5192.00 | Delivery:  59.5% | Budget Used: 3720.00/4000.0
Ep  133 | Phase: ANTAGON | Ticks: 792 | Protag R: -6225.00 | Antag R: 5854.00 | Delivery:  61.4% | Budget Used: 3720.00/4000.0
Ep  134 | Phase: ANTAGON | Ticks: 797 | Protag R: -8939.00 | Antag R: 8568.00 | Delivery:  52.0% | Budget Used: 3720.00/4000.0
Ep  135 | Phase: ANTAGON | Ticks: 799 | Protag R: -5461.00 | Antag R: 5089.00 | Delivery:  55.6% | Budget Used: 3720.00/4000.0
Ep  136 | Phase: ANTAGON | Ticks: 788 | Protag R: -9051.00 | Antag R: 8680.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Ep  137 | Phase: ANTAGON | Ticks: 787 | Protag R: -8250.00 | Antag R: 7879.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
Ep  138 | Phase: ANTAGON | Ticks: 799 | Protag R: -5542.00 | Antag R: 5170.00 | Delivery:  61.9% | Budget Used: 3720.00/4000.0
Ep  139 | Phase: ANTAGON | Ticks: 788 | Protag R: -10675.00 | Antag R: 10305.00 | Delivery:  56.9% | Budget Used: 3720.00/4000.0
Ep  140 | Phase: ANTAGON | Ticks: 799 | Protag R: -5466.00 | Antag R: 5094.00 | Delivery:  62.8% | Budget Used: 3720.00/4000.0
Ep  141 | Phase: ANTAGON | Ticks: 796 | Protag R: -8697.00 | Antag R: 8326.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep  142 | Phase: ANTAGON | Ticks: 799 | Protag R: -11028.00 | Antag R: 10657.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep  143 | Phase: ANTAGON | Ticks: 791 | Protag R: -11727.00 | Antag R: 11356.00 | Delivery:  44.9% | Budget Used: 3720.00/4000.0
