Seeded run: seed=2
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/vanilla_seed2
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: PROTAGO | Ticks: 789 | Protag R: -7483.00 | Antag R: 7483.00 | Delivery:  70.5% | Budget Used:  0.00/4000.0
Ep  152 | Phase: PROTAGO | Ticks: 791 | Protag R: -10008.00 | Antag R: 10009.00 | Delivery:  52.5% | Budget Used:  0.00/4000.0
Ep  153 | Phase: PROTAGO | Ticks: 791 | Protag R: -2158.00 | Antag R: 2158.00 | Delivery:  96.6% | Budget Used:  0.00/4000.0
Ep  154 | Phase: PROTAGO | Ticks: 795 | Protag R: -11264.00 | Antag R: 11265.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep  155 | Phase: PROTAGO | Ticks: 789 | Protag R: -8440.00 | Antag R: 8441.00 | Delivery:  61.5% | Budget Used:  0.00/4000.0
Ep  156 | Phase: PROTAGO | Ticks: 798 | Protag R: -10974.00 | Antag R: 10975.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep  157 | Phase: PROTAGO | Ticks: 795 | Protag R: -13708.00 | Antag R: 13709.00 | Delivery:  49.2% | Budget Used:  0.00/4000.0
Ep  158 | Phase: PROTAGO | Ticks: 793 | Protag R: -5541.00 | Antag R: 5542.00 | Delivery:  71.1% | Budget Used:  0.00/4000.0
Ep  159 | Phase: PROTAGO | Ticks: 782 | Protag R: -6902.00 | Antag R: 6903.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep  160 | Phase: PROTAGO | Ticks: 794 | Protag R: -2885.00 | Antag R: 2886.00 | Delivery:  79.5% | Budget Used:  0.00/4000.0
Ep  161 | Phase: PROTAGO | Ticks: 799 | Protag R: -4668.00 | Antag R: 4669.00 | Delivery:  86.5% | Budget Used:  0.00/4000.0
Ep  162 | Phase: PROTAGO | Ticks: 799 | Protag R: -3893.00 | Antag R: 3894.00 | Delivery:  78.9% | Budget Used:  0.00/4000.0
Ep  163 | Phase: PROTAGO | Ticks: 797 | Protag R: -8568.00 | Antag R: 8569.00 | Delivery:  59.6% | Budget Used:  0.00/4000.0
