Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed1/snapshots/protagonist_ep700.pt (node_in_dim=13).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_vanilla_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: ANTAGON | Ticks: 798 | Protag R: -7569.00 | Antag R: 7198.00 | Delivery:  61.9% | Budget Used: 3720.00/4000.0
Ep  102 | Phase: ANTAGON | Ticks: 789 | Protag R: -9705.00 | Antag R: 9334.00 | Delivery:  43.9% | Budget Used: 3720.00/4000.0
Ep  103 | Phase: ANTAGON | Ticks: 787 | Protag R: -5663.00 | Antag R: 5291.00 | Delivery:  59.5% | Budget Used: 3720.00/4000.0
Ep  104 | Phase: ANTAGON | Ticks: 777 | Protag R: -10589.00 | Antag R: 10218.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep  105 | Phase: ANTAGON | Ticks: 785 | Protag R: -11501.00 | Antag R: 11130.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  106 | Phase: ANTAGON | Ticks: 794 | Protag R: -9932.00 | Antag R: 9561.00 | Delivery:  52.1% | Budget Used: 3720.00/4000.0
Ep  107 | Phase: ANTAGON | Ticks: 798 | Protag R: -11927.00 | Antag R: 11556.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  108 | Phase: ANTAGON | Ticks: 788 | Protag R: -9512.00 | Antag R: 9165.00 | Delivery:  47.8% | Budget Used: 3480.00/4000.0
Ep  109 | Phase: ANTAGON | Ticks: 783 | Protag R: -4903.00 | Antag R: 4604.00 | Delivery:  72.5% | Budget Used: 3000.00/4000.0
Ep  110 | Phase: ANTAGON | Ticks: 789 | Protag R: -8372.00 | Antag R: 8000.00 | Delivery:  61.7% | Budget Used: 3720.00/4000.0
Ep  111 | Phase: ANTAGON | Ticks: 796 | Protag R: -7874.00 | Antag R: 7503.00 | Delivery:  63.8% | Budget Used: 3720.00/4000.0
Ep  112 | Phase: ANTAGON | Ticks: 794 | Protag R: -7868.00 | Antag R: 7520.00 | Delivery:  53.3% | Budget Used: 3480.00/4000.0
Ep  113 | Phase: ANTAGON | Ticks: 799 | Protag R: -5925.00 | Antag R: 5566.00 | Delivery:  70.0% | Budget Used: 3600.00/4000.0
Ep  114 | Phase: ANTAGON | Ticks: 787 | Protag R: -8900.00 | Antag R: 8541.00 | Delivery:  46.7% | Budget Used: 3600.00/4000.0
Ep  115 | Phase: ANTAGON | Ticks: 796 | Protag R: -11185.00 | Antag R: 10813.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  116 | Phase: ANTAGON | Ticks: 792 | Protag R: -6191.00 | Antag R: 5820.00 | Delivery:  70.7% | Budget Used: 3720.00/4000.0
Ep  117 | Phase: ANTAGON | Ticks: 795 | Protag R: -5361.00 | Antag R: 4990.00 | Delivery:  74.4% | Budget Used: 3720.00/4000.0
Ep  118 | Phase: ANTAGON | Ticks: 796 | Protag R: -11107.00 | Antag R: 10736.00 | Delivery:  48.1% | Budget Used: 3720.00/4000.0
Ep  119 | Phase: ANTAGON | Ticks: 791 | Protag R: -11187.00 | Antag R: 10828.00 | Delivery:  52.7% | Budget Used: 3600.00/4000.0
Ep  120 | Phase: ANTAGON | Ticks: 793 | Protag R: -10510.00 | Antag R: 10139.00 | Delivery:  46.3% | Budget Used: 3720.00/4000.0
Ep  121 | Phase: ANTAGON | Ticks: 794 | Protag R: -14289.00 | Antag R: 13918.00 | Delivery:  47.4% | Budget Used: 3720.00/4000.0
Ep  122 | Phase: ANTAGON | Ticks: 782 | Protag R: -10695.00 | Antag R: 10324.00 | Delivery:  55.1% | Budget Used: 3720.00/4000.0
Ep  123 | Phase: ANTAGON | Ticks: 791 | Protag R: -12932.00 | Antag R: 12560.00 | Delivery:  45.5% | Budget Used: 3720.00/4000.0
Ep  124 | Phase: ANTAGON | Ticks: 799 | Protag R: -9223.00 | Antag R: 8852.00 | Delivery:  52.0% | Budget Used: 3720.00/4000.0
Ep  125 | Phase: ANTAGON | Ticks: 799 | Protag R: -8447.00 | Antag R: 8075.00 | Delivery:  57.4% | Budget Used: 3720.00/4000.0
Ep  126 | Phase: ANTAGON | Ticks: 797 | Protag R: -7131.00 | Antag R: 6760.00 | Delivery:  68.3% | Budget Used: 3720.00/4000.0
Ep  127 | Phase: ANTAGON | Ticks: 782 | Protag R: -8809.00 | Antag R: 8450.00 | Delivery:  55.1% | Budget Used: 3600.00/4000.0
Ep  128 | Phase: ANTAGON | Ticks: 794 | Protag R: -12044.00 | Antag R: 11673.00 | Delivery:  52.6% | Budget Used: 3720.00/4000.0
Ep  129 | Phase: ANTAGON | Ticks: 782 | Protag R: -10919.00 | Antag R: 10548.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep  130 | Phase: ANTAGON | Ticks: 787 | Protag R: -11966.00 | Antag R: 11595.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep  131 | Phase: ANTAGON | Ticks: 778 | Protag R: -2437.00 | Antag R: 2077.00 | Delivery:  75.9% | Budget Used: 3600.00/4000.0
Ep  132 | Phase: ANTAGON | Ticks: 790 | Protag R: -5850.00 | Antag R: 5479.00 | Delivery:  66.7% | Budget Used: 3720.00/4000.0
Ep  133 | Phase: ANTAGON | Ticks: 791 | Protag R: -6019.00 | Antag R: 5648.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
Ep  134 | Phase: ANTAGON | Ticks: 785 | Protag R: -8214.00 | Antag R: 7843.00 | Delivery:  56.0% | Budget Used: 3720.00/4000.0
Ep  135 | Phase: ANTAGON | Ticks: 796 | Protag R: -6733.00 | Antag R: 6361.00 | Delivery:  57.8% | Budget Used: 3720.00/4000.0
Ep  136 | Phase: ANTAGON | Ticks: 798 | Protag R: -10507.00 | Antag R: 10136.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Ep  137 | Phase: ANTAGON | Ticks: 797 | Protag R: -8781.00 | Antag R: 8410.00 | Delivery:  63.6% | Budget Used: 3720.00/4000.0
Ep  138 | Phase: ANTAGON | Ticks: 796 | Protag R: -5705.00 | Antag R: 5333.00 | Delivery:  64.3% | Budget Used: 3720.00/4000.0
Ep  139 | Phase: ANTAGON | Ticks: 799 | Protag R: -9291.00 | Antag R: 8921.00 | Delivery:  60.8% | Budget Used: 3720.00/4000.0
Ep  140 | Phase: ANTAGON | Ticks: 796 | Protag R: -6490.00 | Antag R: 6130.00 | Delivery:  58.1% | Budget Used: 3600.00/4000.0
Ep  141 | Phase: ANTAGON | Ticks: 790 | Protag R: -11520.00 | Antag R: 11149.00 | Delivery:  41.2% | Budget Used: 3720.00/4000.0
Ep  142 | Phase: ANTAGON | Ticks: 798 | Protag R: -11436.00 | Antag R: 11065.00 | Delivery:  54.9% | Budget Used: 3720.00/4000.0
Ep  143 | Phase: ANTAGON | Ticks: 776 | Protag R: -8596.00 | Antag R: 8225.00 | Delivery:  61.2% | Budget Used: 3720.00/4000.0
Ep  144 | Phase: ANTAGON | Ticks: 795 | Protag R: -6940.00 | Antag R: 6581.00 | Delivery:  69.0% | Budget Used: 3600.00/4000.0
Ep  145 | Phase: ANTAGON | Ticks: 782 | Protag R: -8559.00 | Antag R: 8188.00 | Delivery:  53.7% | Budget Used: 3720.00/4000.0
Ep  146 | Phase: ANTAGON | Ticks: 793 | Protag R: -6340.00 | Antag R: 5969.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
Ep  147 | Phase: ANTAGON | Ticks: 794 | Protag R: -7443.00 | Antag R: 7072.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep  148 | Phase: ANTAGON | Ticks: 778 | Protag R: -8408.00 | Antag R: 8048.00 | Delivery:  65.9% | Budget Used: 3600.00/4000.0
Ep  149 | Phase: ANTAGON | Ticks: 777 | Protag R: -11969.00 | Antag R: 11597.00 | Delivery:  51.0% | Budget Used: 3720.00/4000.0
Ep  150 | Phase: ANTAGON | Ticks: 780 | Protag R: -3921.00 | Antag R: 3561.00 | Delivery:  57.1% | Budget Used: 3600.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: ANTAGON | Ticks: 797 | Protag R: -13151.00 | Antag R: 12780.00 | Delivery:  43.5% | Budget Used: 3720.00/4000.0
Ep  152 | Phase: ANTAGON | Ticks: 790 | Protag R: -9840.00 | Antag R: 9469.00 | Delivery:  44.9% | Budget Used: 3720.00/4000.0
Ep  153 | Phase: ANTAGON | Ticks: 790 | Protag R: -8940.00 | Antag R: 8569.00 | Delivery:  40.8% | Budget Used: 3720.00/4000.0
Ep  154 | Phase: ANTAGON | Ticks: 780 | Protag R: -10416.00 | Antag R: 10044.00 | Delivery:  47.3% | Budget Used: 3720.00/4000.0
Ep  155 | Phase: ANTAGON | Ticks: 781 | Protag R: -8529.00 | Antag R: 8157.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  156 | Phase: ANTAGON | Ticks: 785 | Protag R: -9785.00 | Antag R: 9413.00 | Delivery:  39.2% | Budget Used: 3720.00/4000.0
Ep  157 | Phase: ANTAGON | Ticks: 798 | Protag R: -5831.00 | Antag R: 5472.00 | Delivery:  76.3% | Budget Used: 3600.00/4000.0
