Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/dynassign_scripted_seed1
Scripted adversary: pathrand
Starting SACRED training (mode=scripted_adversary) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep  135 | Phase: PROTAGO | Ticks: 799 | Protag R: -13966.00 | Antag R: 13594.00 | Delivery:  20.4% | Budget Used: 3720.00/4000.0
Ep  136 | Phase: PROTAGO | Ticks: 796 | Protag R: -13429.00 | Antag R: 13058.00 | Delivery:  23.2% | Budget Used: 3720.00/4000.0
Ep  137 | Phase: PROTAGO | Ticks: 785 | Protag R: -17275.00 | Antag R: 16903.00 | Delivery:  22.2% | Budget Used: 3720.00/4000.0
Ep  138 | Phase: PROTAGO | Ticks: 776 | Protag R: -14568.00 | Antag R: 14197.00 | Delivery:  23.5% | Budget Used: 3720.00/4000.0
Ep  139 | Phase: PROTAGO | Ticks: 785 | Protag R: -20688.00 | Antag R: 20317.00 | Delivery:  25.9% | Budget Used: 3720.00/4000.0
Ep  140 | Phase: PROTAGO | Ticks: 780 | Protag R: -12898.00 | Antag R: 12526.00 | Delivery:  18.4% | Budget Used: 3720.00/4000.0
Ep  141 | Phase: PROTAGO | Ticks: 777 | Protag R: -16691.00 | Antag R: 16321.00 | Delivery:  22.9% | Budget Used: 3720.00/4000.0
Ep  142 | Phase: PROTAGO | Ticks: 775 | Protag R: -15871.00 | Antag R: 15500.00 | Delivery:  17.6% | Budget Used: 3720.00/4000.0
Ep  143 | Phase: PROTAGO | Ticks: 798 | Protag R: -13499.00 | Antag R: 13128.00 | Delivery:  28.6% | Budget Used: 3720.00/4000.0
Ep  144 | Phase: PROTAGO | Ticks: 796 | Protag R: -8802.00 | Antag R: 8431.00 | Delivery:  31.7% | Budget Used: 3720.00/4000.0
Ep  145 | Phase: PROTAGO | Ticks: 780 | Protag R: -11250.00 | Antag R: 10879.00 | Delivery:  28.2% | Budget Used: 3720.00/4000.0
Ep  146 | Phase: PROTAGO | Ticks: 775 | Protag R: -13807.00 | Antag R: 13436.00 | Delivery:  20.0% | Budget Used: 3720.00/4000.0
Ep  147 | Phase: PROTAGO | Ticks: 796 | Protag R: -10985.00 | Antag R: 10614.00 | Delivery:  22.2% | Budget Used: 3720.00/4000.0
Ep  148 | Phase: PROTAGO | Ticks: 780 | Protag R: -14329.00 | Antag R: 13958.00 | Delivery:  24.5% | Budget Used: 3720.00/4000.0
Ep  149 | Phase: PROTAGO | Ticks: 798 | Protag R: -11987.00 | Antag R: 11616.00 | Delivery:  34.0% | Budget Used: 3720.00/4000.0
Ep  150 | Phase: PROTAGO | Ticks: 799 | Protag R: -9487.00 | Antag R: 9115.00 | Delivery:  34.1% | Budget Used: 3720.00/4000.0
  [EVAL ep 150] greedy_atk=5366 learned_atk=5713 gap=+347 +/-256 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: PROTAGO | Ticks: 787 | Protag R: -14768.00 | Antag R: 14397.00 | Delivery:  28.0% | Budget Used: 3720.00/4000.0
Ep  152 | Phase: PROTAGO | Ticks: 797 | Protag R: -10991.00 | Antag R: 10619.00 | Delivery:  22.9% | Budget Used: 3720.00/4000.0
Ep  153 | Phase: PROTAGO | Ticks: 781 | Protag R: -9009.00 | Antag R: 8637.00 | Delivery:  30.6% | Budget Used: 3720.00/4000.0
Ep  154 | Phase: PROTAGO | Ticks: 792 | Protag R: -12793.00 | Antag R: 12422.00 | Delivery:  27.5% | Budget Used: 3720.00/4000.0
Ep  155 | Phase: PROTAGO | Ticks: 777 | Protag R: -9102.00 | Antag R: 8731.00 | Delivery:  28.9% | Budget Used: 3720.00/4000.0
Ep  156 | Phase: PROTAGO | Ticks: 797 | Protag R: -13689.00 | Antag R: 13318.00 | Delivery:  25.0% | Budget Used: 3720.00/4000.0
Ep  157 | Phase: PROTAGO | Ticks: 799 | Protag R: -9064.00 | Antag R: 8692.00 | Delivery:  32.5% | Budget Used: 3720.00/4000.0
Ep  158 | Phase: PROTAGO | Ticks: 796 | Protag R: -15848.00 | Antag R: 15477.00 | Delivery:  21.1% | Budget Used: 3720.00/4000.0
Ep  159 | Phase: PROTAGO | Ticks: 794 | Protag R: -17232.00 | Antag R: 16861.00 | Delivery:  25.5% | Budget Used: 3720.00/4000.0
