Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen06_dynassign_matrix/dynassign_scripted_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/br_scripted_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep  114 | Phase: ANTAGON | Ticks: 782 | Protag R: -8548.00 | Antag R: 8189.00 | Delivery:  51.1% | Budget Used: 3600.00/4000.0
Ep  115 | Phase: ANTAGON | Ticks: 788 | Protag R: -9685.00 | Antag R: 9337.00 | Delivery:  53.8% | Budget Used: 3480.00/4000.0
Ep  116 | Phase: ANTAGON | Ticks: 791 | Protag R: -6625.00 | Antag R: 6326.00 | Delivery:  70.7% | Budget Used: 3000.00/4000.0
Ep  117 | Phase: ANTAGON | Ticks: 799 | Protag R: -5604.00 | Antag R: 5245.00 | Delivery:  69.8% | Budget Used: 3600.00/4000.0
Ep  118 | Phase: ANTAGON | Ticks: 796 | Protag R: -9532.00 | Antag R: 9161.00 | Delivery:  53.7% | Budget Used: 3720.00/4000.0
Ep  119 | Phase: ANTAGON | Ticks: 796 | Protag R: -12746.00 | Antag R: 12375.00 | Delivery:  47.3% | Budget Used: 3720.00/4000.0
Ep  120 | Phase: ANTAGON | Ticks: 787 | Protag R: -11314.00 | Antag R: 10943.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  121 | Phase: ANTAGON | Ticks: 798 | Protag R: -13455.00 | Antag R: 13096.00 | Delivery:  54.4% | Budget Used: 3600.00/4000.0
Ep  122 | Phase: ANTAGON | Ticks: 792 | Protag R: -10341.00 | Antag R: 9970.00 | Delivery:  55.1% | Budget Used: 3720.00/4000.0
Ep  123 | Phase: ANTAGON | Ticks: 794 | Protag R: -11640.00 | Antag R: 11304.00 | Delivery:  50.9% | Budget Used: 3360.00/4000.0
Ep  124 | Phase: ANTAGON | Ticks: 789 | Protag R: -9206.00 | Antag R: 8931.00 | Delivery:  54.0% | Budget Used: 2760.00/4000.0
Ep  125 | Phase: ANTAGON | Ticks: 784 | Protag R: -8329.00 | Antag R: 8017.00 | Delivery:  59.6% | Budget Used: 3120.00/4000.0
Ep  126 | Phase: ANTAGON | Ticks: 799 | Protag R: -5918.00 | Antag R: 5559.00 | Delivery:  68.3% | Budget Used: 3600.00/4000.0
Ep  127 | Phase: ANTAGON | Ticks: 781 | Protag R: -7669.00 | Antag R: 7322.00 | Delivery:  53.1% | Budget Used: 3480.00/4000.0
Ep  128 | Phase: ANTAGON | Ticks: 798 | Protag R: -11384.00 | Antag R: 11013.00 | Delivery:  52.6% | Budget Used: 3720.00/4000.0
Ep  129 | Phase: ANTAGON | Ticks: 796 | Protag R: -9049.00 | Antag R: 8714.00 | Delivery:  62.2% | Budget Used: 3360.00/4000.0
Ep  130 | Phase: ANTAGON | Ticks: 787 | Protag R: -11011.00 | Antag R: 10652.00 | Delivery:  52.9% | Budget Used: 3600.00/4000.0
Ep  131 | Phase: ANTAGON | Ticks: 795 | Protag R: -3447.00 | Antag R: 3111.00 | Delivery:  69.0% | Budget Used: 3360.00/4000.0
Ep  132 | Phase: ANTAGON | Ticks: 776 | Protag R: -4773.00 | Antag R: 4414.00 | Delivery:  66.7% | Budget Used: 3600.00/4000.0
Ep  133 | Phase: ANTAGON | Ticks: 780 | Protag R: -6870.00 | Antag R: 6499.00 | Delivery:  59.1% | Budget Used: 3720.00/4000.0
Ep  134 | Phase: ANTAGON | Ticks: 794 | Protag R: -10287.00 | Antag R: 9916.00 | Delivery:  46.0% | Budget Used: 3720.00/4000.0
Ep  135 | Phase: ANTAGON | Ticks: 795 | Protag R: -5748.00 | Antag R: 5388.00 | Delivery:  57.8% | Budget Used: 3600.00/4000.0
Ep  136 | Phase: ANTAGON | Ticks: 791 | Protag R: -12261.00 | Antag R: 11890.00 | Delivery:  43.6% | Budget Used: 3720.00/4000.0
Ep  137 | Phase: ANTAGON | Ticks: 791 | Protag R: -8904.00 | Antag R: 8557.00 | Delivery:  61.4% | Budget Used: 3480.00/4000.0
Ep  138 | Phase: ANTAGON | Ticks: 799 | Protag R: -5015.00 | Antag R: 4667.00 | Delivery:  69.0% | Budget Used: 3480.00/4000.0
Ep  139 | Phase: ANTAGON | Ticks: 784 | Protag R: -9452.00 | Antag R: 9082.00 | Delivery:  58.8% | Budget Used: 3720.00/4000.0
Ep  140 | Phase: ANTAGON | Ticks: 786 | Protag R: -5418.00 | Antag R: 5070.00 | Delivery:  58.1% | Budget Used: 3480.00/4000.0
Ep  141 | Phase: ANTAGON | Ticks: 797 | Protag R: -8413.00 | Antag R: 8066.00 | Delivery:  52.9% | Budget Used: 3480.00/4000.0
Ep  142 | Phase: ANTAGON | Ticks: 797 | Protag R: -9273.00 | Antag R: 8926.00 | Delivery:  52.9% | Budget Used: 3480.00/4000.0
Ep  143 | Phase: ANTAGON | Ticks: 790 | Protag R: -10131.00 | Antag R: 9784.00 | Delivery:  57.1% | Budget Used: 3480.00/4000.0
Ep  144 | Phase: ANTAGON | Ticks: 783 | Protag R: -7118.00 | Antag R: 6759.00 | Delivery:  66.7% | Budget Used: 3600.00/4000.0
Ep  145 | Phase: ANTAGON | Ticks: 796 | Protag R: -8919.00 | Antag R: 8548.00 | Delivery:  51.9% | Budget Used: 3720.00/4000.0
Ep  146 | Phase: ANTAGON | Ticks: 785 | Protag R: -7005.00 | Antag R: 6646.00 | Delivery:  56.5% | Budget Used: 3600.00/4000.0
Ep  147 | Phase: ANTAGON | Ticks: 789 | Protag R: -7271.00 | Antag R: 6936.00 | Delivery:  46.8% | Budget Used: 3360.00/4000.0
Ep  148 | Phase: ANTAGON | Ticks: 789 | Protag R: -8296.00 | Antag R: 7948.00 | Delivery:  59.1% | Budget Used: 3480.00/4000.0
Ep  149 | Phase: ANTAGON | Ticks: 785 | Protag R: -11938.00 | Antag R: 11590.00 | Delivery:  47.1% | Budget Used: 3480.00/4000.0
Ep  150 | Phase: ANTAGON | Ticks: 785 | Protag R: -4381.00 | Antag R: 4045.00 | Delivery:  51.4% | Budget Used: 3360.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: ANTAGON | Ticks: 791 | Protag R: -13481.00 | Antag R: 13110.00 | Delivery:  39.1% | Budget Used: 3720.00/4000.0
Ep  152 | Phase: ANTAGON | Ticks: 784 | Protag R: -9417.00 | Antag R: 9046.00 | Delivery:  53.1% | Budget Used: 3720.00/4000.0
Ep  153 | Phase: ANTAGON | Ticks: 799 | Protag R: -7114.00 | Antag R: 6755.00 | Delivery:  61.2% | Budget Used: 3600.00/4000.0
Ep  154 | Phase: ANTAGON | Ticks: 788 | Protag R: -8674.00 | Antag R: 8302.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
Ep  155 | Phase: ANTAGON | Ticks: 782 | Protag R: -8530.00 | Antag R: 8170.00 | Delivery:  60.9% | Budget Used: 3600.00/4000.0
Ep  156 | Phase: ANTAGON | Ticks: 792 | Protag R: -9251.00 | Antag R: 8891.00 | Delivery:  45.1% | Budget Used: 3600.00/4000.0
Ep  157 | Phase: ANTAGON | Ticks: 792 | Protag R: -7726.00 | Antag R: 7355.00 | Delivery:  63.2% | Budget Used: 3720.00/4000.0
Ep  158 | Phase: ANTAGON | Ticks: 794 | Protag R: -10349.00 | Antag R: 9978.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
