Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/vanilla_seed1
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep  145 | Phase: PROTAGO | Ticks: 780 | Protag R: -3341.00 | Antag R: 3342.00 | Delivery:  82.1% | Budget Used:  0.00/4000.0
Ep  146 | Phase: PROTAGO | Ticks: 798 | Protag R: -5224.00 | Antag R: 5225.00 | Delivery:  71.1% | Budget Used:  0.00/4000.0
Ep  147 | Phase: PROTAGO | Ticks: 792 | Protag R: -3811.00 | Antag R: 3812.00 | Delivery:  80.6% | Budget Used:  0.00/4000.0
Ep  148 | Phase: PROTAGO | Ticks: 793 | Protag R: -8777.00 | Antag R: 8778.00 | Delivery:  58.5% | Budget Used:  0.00/4000.0
Ep  149 | Phase: PROTAGO | Ticks: 794 | Protag R: -6984.00 | Antag R: 6985.00 | Delivery:  68.1% | Budget Used:  0.00/4000.0
Ep  150 | Phase: PROTAGO | Ticks: 789 | Protag R: -3540.00 | Antag R: 3540.00 | Delivery:  70.7% | Budget Used:  0.00/4000.0
  [EVAL ep 150] greedy_atk=5366 learned_atk=5828 gap=+462 +/-299 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: PROTAGO | Ticks: 780 | Protag R: -7351.00 | Antag R: 7352.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep  152 | Phase: PROTAGO | Ticks: 799 | Protag R: -3347.00 | Antag R: 3347.00 | Delivery:  80.0% | Budget Used:  0.00/4000.0
Ep  153 | Phase: PROTAGO | Ticks: 799 | Protag R: -2994.00 | Antag R: 2994.00 | Delivery:  80.6% | Budget Used:  0.00/4000.0
Ep  154 | Phase: PROTAGO | Ticks: 797 | Protag R: -5788.00 | Antag R: 5789.00 | Delivery:  62.7% | Budget Used:  0.00/4000.0
Ep  155 | Phase: PROTAGO | Ticks: 791 | Protag R: -2226.00 | Antag R: 2227.00 | Delivery:  76.3% | Budget Used:  0.00/4000.0
Ep  156 | Phase: PROTAGO | Ticks: 797 | Protag R: -6807.00 | Antag R: 6808.00 | Delivery:  63.5% | Budget Used:  0.00/4000.0
Ep  157 | Phase: PROTAGO | Ticks: 795 | Protag R: -3236.00 | Antag R: 3236.00 | Delivery:  75.0% | Budget Used:  0.00/4000.0
Ep  158 | Phase: PROTAGO | Ticks: 799 | Protag R: -10666.00 | Antag R: 10667.00 | Delivery:  52.6% | Budget Used:  0.00/4000.0
Ep  159 | Phase: PROTAGO | Ticks: 799 | Protag R: -11640.00 | Antag R: 11641.00 | Delivery:  58.2% | Budget Used:  0.00/4000.0
Ep  160 | Phase: PROTAGO | Ticks: 797 | Protag R: -11372.00 | Antag R: 11372.00 | Delivery:  58.8% | Budget Used:  0.00/4000.0
Ep  161 | Phase: PROTAGO | Ticks: 795 | Protag R: -4917.00 | Antag R: 4918.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep  162 | Phase: PROTAGO | Ticks: 796 | Protag R: -6618.00 | Antag R: 6619.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep  163 | Phase: PROTAGO | Ticks: 787 | Protag R: -11207.00 | Antag R: 11208.00 | Delivery:  50.8% | Budget Used:  0.00/4000.0
